id,trial,trialord,blink,age,female_baby,female_parent,lullaby_side,lullaby_order,lullaby_character,condition,lultrial
8032,10,10,1,5.1581111,1,0,left,first,blue,10,
8032,11,7,3,5.1581111,1,0,left,first,blue,10,0
8032,12,8,2,5.1581111,1,0,left,first,blue,10,1
8032,13,13,2,5.1581111,1,0,left,first,blue,10,
8033,1,1,0,4.895277,0,1,left,first,red,2,
8033,2,1,0,4.895277,0,1,left,first,red,2,1
8033,3,2,1,4.895277,0,1,left,first,red,2,0
8033,4,4,0,4.895277,0,1,left,first,red,2,
8033,5,3,0,4.895277,0,1,left,first,red,2,0
8033,6,4,0,4.895277,0,1,left,first,red,2,1
8033,7,7,2,4.895277,0,1,left,first,red,2,
8033,8,5,1,4.895277,0,1,left,first,red,2,1
8033,9,6,0,4.895277,0,1,left,first,red,2,0
8033,10,10,3,4.895277,0,1,left,first,red,2,
8033,11,7,1,4.895277,0,1,left,first,red,2,0
8033,12,8,1,4.895277,0,1,left,first,red,2,1
8033,13,13,1,4.895277,0,1,left,first,red,2,
8034,1,1,2,3.3511293,0,1,right,first,blue,6,
8034,2,1,1,3.3511293,0,1,right,first,blue,6,1
8034,3,2,3,3.3511293,0,1,right,first,blue,6,0
8034,4,4,5,3.3511293,0,1,right,first,blue,6,
8034,5,3,1,3.3511293,0,1,right,first,blue,6,0
8034,6,4,1,3.3511293,0,1,right,first,blue,6,1
8034,7,7,2,3.3511293,0,1,right,first,blue,6,
8034,8,5,0,3.3511293,0,1,right,first,blue,6,1
8034,9,6,1,3.3511293,0,1,right,first,blue,6,0
8034,10,10,1,3.3511293,0,1,right,first,blue,6,
8034,11,7,1,3.3511293,0,1,right,first,blue,6,0
8034,12,8,1,3.3511293,0,1,right,first,blue,6,1
8034,13,13,3,3.3511293,0,1,right,first,blue,6,
8035,1,1,1,6.7679672,0,1,left,first,blue,9,
8035,2,1,0,6.7679672,0,1,left,first,blue,9,1
8035,3,2,1,6.7679672,0,1,left,first,blue,9,0
8035,4,4,1,6.7679672,0,1,left,first,blue,9,
8035,5,3,1,6.7679672,0,1,left,first,blue,9,0
8035,6,4,1,6.7679672,0,1,left,first,blue,9,1
8035,7,7,0,6.7679672,0,1,left,first,blue,9,
8035,8,5,0,6.7679672,0,1,left,first,blue,9,1
8035,9,6,0,6.7679672,0,1,left,first,blue,9,0
8035,10,10,2,6.7679672,0,1,left,first,blue,9,
8035,11,7,1,6.7679672,0,1,left,first,blue,9,0
8035,12,8,2,6.7679672,0,1,left,first,blue,9,1
8035,13,13,1,6.7679672,0,1,left,first,blue,9,
8037,1,1,0,5.1581111,1,1,right,first,blue,6,
8037,2,1,0,5.1581111,1,1,right,first,blue,6,1
8037,3,2,0,5.1581111,1,1,right,first,blue,6,0
8037,4,4,0,5.1581111,1,1,right,first,blue,6,
8037,5,3,0,5.1581111,1,1,right,first,blue,6,0
8037,6,4,0,5.1581111,1,1,right,first,blue,6,1
8037,7,7,2,5.1581111,1,1,right,first,blue,6,
8037,8,5,1,5.1581111,1,1,right,first,blue,6,1
8037,9,6,1,5.1581111,1,1,right,first,blue,6,0
8037,10,10,0,5.1581111,1,1,right,first,blue,6,
8037,11,7,1,5.1581111,1,1,right,first,blue,6,0
8037,12,8,0,5.1581111,1,1,right,first,blue,6,1
8037,13,13,2,5.1581111,1,1,right,first,blue,6,
8040,1,1,3,10.61191,1,1,left,first,blue,10,
8040,2,1,1,10.61191,1,1,left,first,blue,10,1
8040,3,2,0,10.61191,1,1,left,first,blue,10,0
8040,4,4,1,10.61191,1,1,left,first,blue,10,
8040,5,3,1,10.61191,1,1,left,first,blue,10,0
8040,6,4,0,10.61191,1,1,left,first,blue,10,1
8040,7,7,1,10.61191,1,1,left,first,blue,10,
8040,8,5,1,10.61191,1,1,left,first,blue,10,1
8040,9,6,0,10.61191,1,1,left,first,blue,10,0
8040,10,10,3,10.61191,1,1,left,first,blue,10,
8040,11,7,1,10.61191,1,1,left,first,blue,10,0
8040,12,8,3,10.61191,1,1,left,first,blue,10,1
8040,13,13,3,10.61191,1,1,left,first,blue,10,
8041,1,1,1,9.6262836,1,1,right,second,red,16,
8041,2,1,0,9.6262836,1,1,right,second,red,16,0
8041,3,2,0,9.6262836,1,1,right,second,red,16,1
8041,4,4,3,9.6262836,1,1,right,second,red,16,
8041,5,3,1,9.6262836,1,1,right,second,red,16,1
8041,6,4,1,9.6262836,1,1,right,second,red,16,0
8041,7,7,3,9.6262836,1,1,right,second,red,16,
8041,8,5,0,9.6262836,1,1,right,second,red,16,0
8041,9,6,1,9.6262836,1,1,right,second,red,16,1
8041,10,10,3,9.6262836,1,1,right,second,red,16,
8041,11,7,3,9.6262836,1,1,right,second,red,16,1
8041,12,8,0,9.6262836,1,1,right,second,red,16,0
8041,13,13,4,9.6262836,1,1,right,second,red,16,
8042,1,1,1,2.4312115,1,1,left,first,blue,10,
8042,2,1,1,2.4312115,1,1,left,first,blue,10,1
8042,3,2,1,2.4312115,1,1,left,first,blue,10,0
8042,4,4,1,2.4312115,1,1,left,first,blue,10,
8042,5,3,2,2.4312115,1,1,left,first,blue,10,0
8042,6,4,1,2.4312115,1,1,left,first,blue,10,1
8042,7,7,1,2.4312115,1,1,left,first,blue,10,
8042,8,5,4,2.4312115,1,1,left,first,blue,10,1
8042,9,6,0,2.4312115,1,1,left,first,blue,10,0
