id,trial,trialord,look,lookdir,age,female_baby,female_parent,lullaby_side,lullaby_order,lullaby_character,condition,lultrial
8012,11,7,1138,r,10.349076,1,1,right,first,blue,5,0
8012,12,8,2778,l,10.349076,1,1,right,first,blue,5,1
8012,12,8,7248,r,10.349076,1,1,right,first,blue,5,1
8012,13,13,4096,l,10.349076,1,1,right,first,blue,5,
8012,13,13,4400,r,10.349076,1,1,right,first,blue,5,
8013,1,1,5056,l,11.104723,0,1,left,second,red,4,
8013,1,1,3726,r,11.104723,0,1,left,second,red,4,
8013,2,1,7216,l,11.104723,0,1,left,second,red,4,0
8013,2,1,1662,r,11.104723,0,1,left,second,red,4,0
8013,3,2,7894,l,11.104723,0,1,left,second,red,4,1
8013,3,2,4560,r,11.104723,0,1,left,second,red,4,1
8013,4,4,1344,l,11.104723,0,1,left,second,red,4,
8013,4,4,928,r,11.104723,0,1,left,second,red,4,
8013,5,3,4416,l,11.104723,0,1,left,second,red,4,1
8013,5,3,6326,r,11.104723,0,1,left,second,red,4,1
8013,6,4,8182,l,11.104723,0,1,left,second,red,4,0
8013,6,4,4126,r,11.104723,0,1,left,second,red,4,0
8013,7,7,2902,l,11.104723,0,1,left,second,red,4,
8013,7,7,1488,r,11.104723,0,1,left,second,red,4,
8013,8,5,8622,l,11.104723,0,1,left,second,red,4,0
8013,8,5,4368,r,11.104723,0,1,left,second,red,4,0
8013,9,6,7110,l,11.104723,0,1,left,second,red,4,1
8013,9,6,2768,r,11.104723,0,1,left,second,red,4,1
8013,10,10,3440,l,11.104723,0,1,left,second,red,4,
8013,10,10,3920,r,11.104723,0,1,left,second,red,4,
8013,11,7,2976,l,11.104723,0,1,left,second,red,4,1
8013,11,7,1424,r,11.104723,0,1,left,second,red,4,1
8013,12,8,2864,l,11.104723,0,1,left,second,red,4,0
8013,12,8,3024,r,11.104723,0,1,left,second,red,4,0
8013,13,13,2800,l,11.104723,0,1,left,second,red,4,
8013,13,13,3120,r,11.104723,0,1,left,second,red,4,
8014,1,1,4582,l,7.983573,1,1,left,second,red,4,
8014,1,1,8592,r,7.983573,1,1,left,second,red,4,
8014,2,1,352,l,7.983573,1,1,left,second,red,4,0
8014,2,1,11742,r,7.983573,1,1,left,second,red,4,0
8014,3,2,12742,l,7.983573,1,1,left,second,red,4,1
8014,3,2,992,r,7.983573,1,1,left,second,red,4,1
8014,4,4,5376,l,7.983573,1,1,left,second,red,4,
8014,4,4,6704,r,7.983573,1,1,left,second,red,4,
8014,5,3,6736,l,7.983573,1,1,left,second,red,4,1
8014,5,3,2416,r,7.983573,1,1,left,second,red,4,1
8014,6,4,336,l,7.983573,1,1,left,second,red,4,0
8014,6,4,10080,r,7.983573,1,1,left,second,red,4,0
8014,7,7,2432,l,7.983573,1,1,left,second,red,4,
8014,7,7,5808,r,7.983573,1,1,left,second,red,4,
8017,1,1,3232,l,9.9876795,0,1,right,first,blue,5,
8017,1,1,2736,r,9.9876795,0,1,right,first,blue,5,
8017,2,1,592,l,9.9876795,0,1,right,first,blue,5,1
8017,2,1,6441,r,9.9876795,0,1,right,first,blue,5,1
8017,3,2,8977,l,9.9876795,0,1,right,first,blue,5,0
8017,3,2,3504,r,9.9876795,0,1,right,first,blue,5,0
8017,4,4,3280,l,9.9876795,0,1,right,first,blue,5,
8017,4,4,3051,r,9.9876795,0,1,right,first,blue,5,
8017,5,3,8592,l,9.9876795,0,1,right,first,blue,5,0
8017,5,3,1248,r,9.9876795,0,1,right,first,blue,5,0
8018,1,1,7280,l,9.6262836,1,1,left,second,red,4,
8018,1,1,2736,r,9.6262836,1,1,left,second,red,4,
8018,2,1,4864,l,9.6262836,1,1,left,second,red,4,0
8018,2,1,5328,r,9.6262836,1,1,left,second,red,4,0
8018,3,2,11984,l,9.6262836,1,1,left,second,red,4,1
8018,3,2,1520,r,9.6262836,1,1,left,second,red,4,1
8018,4,4,7280,l,9.6262836,1,1,left,second,red,4,
8018,4,4,1424,r,9.6262836,1,1,left,second,red,4,
8018,5,3,7904,l,9.6262836,1,1,left,second,red,4,1
8018,5,3,1392,r,9.6262836,1,1,left,second,red,4,1
8018,6,4,1616,l,9.6262836,1,1,left,second,red,4,0
8018,6,4,10984,r,9.6262836,1,1,left,second,red,4,0
8018,7,7,4352,l,9.6262836,1,1,left,second,red,4,
8018,7,7,976,r,9.6262836,1,1,left,second,red,4,
8018,8,5,2296,l,9.6262836,1,1,left,second,red,4,0
8018,8,5,8576,r,9.6262836,1,1,left,second,red,4,0
8018,9,6,8640,l,9.6262836,1,1,left,second,red,4,1
8018,9,6,816,r,9.6262836,1,1,left,second,red,4,1
8018,10,10,5648,l,9.6262836,1,1,left,second,red,4,
8018,10,10,384,r,9.6262836,1,1,left,second,red,4,
8018,11,7,8704,l,9.6262836,1,1,left,second,red,4,1
8018,11,7,2064,r,9.6262836,1,1,left,second,red,4,1
8018,12,8,7352,l,9.6262836,1,1,left,second,red,4,0
8018,12,8,2672,r,9.6262836,1,1,left,second,red,4,0
8018,13,13,8160,l,9.6262836,1,1,left,second,red,4,
8018,13,13,5184,r,9.6262836,1,1,left,second,red,4,
8019,1,1,4496,l,8.7720737,0,1,left,first,red,1,
8019,1,1,5292,r,8.7720737,0,1,left,first,red,1,
8019,2,1,12596,l,8.7720737,0,1,left,first,red,1,1
8019,2,1,1248,r,8.7720737,0,1,left,first,red,1,1
8019,3,2,5248,l,8.7720737,0,1,left,first,red,1,0
8019,3,2,7288,r,8.7720737,0,1,left,first,red,1,0
8019,4,4,7344,l,8.7720737,0,1,left,first,red,1,
8019,4,4,2928,r,8.7720737,0,1,left,first,red,1,
8019,5,3,2640,l,8.7720737,0,1,left,first,red,1,0
